Term,Acronym,Description
Salesforce Dot Com,SFDC,Not sure if it's an acronym or slang - but SFDC seesm to be how a lot of people refer to it.
Supplier Initiated Cost Reduction,SICR,TBD
Silicon Engineering Team,SiE,Our mission is to develop the technology architecture strategy and implementation for switching and routing products
Supplier Input Process Output Customer,SIPOC,"High level view of a process, end-to-end"
Statistical Inventory Size,SIS,Safety stock: (?ct*Z) 
System Integration Test,SIT,TBD
Stock Keeping Unit,SKU,Unique identifier for each distinct product and service that can be purchased in business
Service Level Agreement,SLA,Used in master agreements with Manufacturing Partners
Strategic Service Logistics Centers,SLC,TBD
"State, Local and Education",SLED,TBD
Strategic Leadership Experience,SLX,"Cisco Leaders, director and above, meet during an SLX meeting to go over company priorities,objectives."
Strategic Marketing Organization,SMO,"The SMO team offers research, analysis and expert advice on Competitive, Customer and Market Intelligence; the Economy; and Custom Market/Primary Research. SMO also offers strategic consulting services via the Strategic Services team."
Sales Order,SO,TBD
Sourcing Commodity Manager,SoCM,TBD
Supply Planner,SP,http://iwe.cisco.com/web/cvcmgpf/global-supply-chain-planning
Service Provider,SP,TBD
Single Point of Contact,SPoC,TBD
Span of Control ,SPoC ,Describes how many levels are between an individual contributor and the CEO. This metric is used to see if an organization has to many levels.
Service Product Quality,SPQ,Technical team within Global Refurbishment Operations that drives repair product quality through leveraging partner relationships and measuring key metrics for continual improvement.
Supply Planner Product Family,SPPF,TBD
Service Provider Technology Group,SPVTG,TBD
Service Repair Data,SRD,Repair Supplier data transferred to Cisco databases.
Shared Resource Forecaster,SRF,TBD
Single Source of Truth ,SSoT ,TBD
Sustain the Business,STB,TBD
Security Technology Business Unit,STBU,"Includes Ironport, Scansafe, ASA, etc."
Single Use Kanban,SUK,Re-order quantity
Supply Work Bench,SWB,This was another name given to the Kinaxis tool 
Software Infrastructure and Fulfillment Technology ,SWIFT,"Software llicensing infrastructure capable of license generation, fulfillment, and support"
Term and Content,TnC,Subscription license conditions 
Transportation and Logistics,TnL,TBD
Technology and Quality,TnQ,http://wwwin.cisco.com/mfg/organizations/tnq/
Trade Agreements Act ,TAA,http://en.wikipedia.org/wiki/Trade_Agreements_Act_of_1979
Total Assembly Cost,TAC,TBD
Technical Assistance Center,TAC,TBD
Technical Account Manager,TAM,Integral part of Cisco Mission Critical Support service
Top Level Assembly Number,TAN,TBD
To Be Hired,TBH,TBD
Total Cost of Ownership,TCO,"Used when determining how much anything will cost. Takes into much more than purchase price. Things such as service, warranties, maintanance, interest, etc. are taken into account when determining this number. "
Test Engineer,TE,TBD
Technology Group,TG,TBD
Technical Response Center,TRC,TBD
Transformation Request for Quote,TRFQ,TBD
Technical Service,TS,TBD
True Supply Commit,TSC,A process within Supply Planning that tries to determine the true supply number for each CM 
Transitional Service Entity,TSE,TBD
Telepresence Technology Group,TTG,TBD
User Acceptance Testing,UAT,Testing of the completed system and/or process by the end user. Prime goal is to test the business process and user documentation
Unconstrained Build Report,UBR,Forecast by site from Miami + Backlog = total demand at the PID level
Unconstrained Shipment Request ,USR,TBD
Usability Testing,UT,"The purpose is to confirm that an application has a positive user experience in overall concept/process, layout and formatting, field labels, and wording."
Variances and OCOGS,VnO,"Eg. logistics costs, purchase price variances"
Value Added Reseller,VAR,TBD
Value Chain Design and Deployment,VCDnD,TBD
Value Engineering,VE,TBD
Value Engineering Management Tool,VEMT,TBD
Vendor Managed Inventory,VMI,TBD
Voice of Customer,VoC,TBD
Video On Demand,VOD,TBD
Vision Strategy Execution and Metrics,VSEM,TBD
Wireline and Emerging Provider,WEP,"This acronym is in wide use for what appears to be a sales support team, if somebody knows this acronym definition to be correct - please update this comment."
Waste Electrical and Electronic Equipment,WEEE,TBD
Work Order,WO,TBD
Weeks of Supply,WOS,TBD
WIP Supply Type,WST,User enters WST using the BOB tool
Worldwide Customer Operations,WWCO,TBD
